loss,best_loss,timepoint,iteration
24433.277199265143,24433.277199265143,165.49417495727542,1
29557.346582650483,24433.277199265143,484.7626519203186,2
30201.64334766709,24433.277199265143,1043.4634375572202,3
24863.735316073227,24433.277199265143,1261.7508144378662,4
32257.577894091723,24433.277199265143,2103.489176988601,5
26060.55877389601,24433.277199265143,2743.71520113945,6
27115.722094552733,24433.277199265143,2852.3624267578125,7
29179.480567150942,24433.277199265143,2992.7869534492493,8
27843.7808353351,24433.277199265143,3424.7510511875153,9
32496.74504641781,24433.277199265143,3775.5763680934906,10
25620.104353449486,24433.277199265143,3986.473012447357,11
28073.377969408848,24433.277199265143,4651.308874845505,12
30633.900145006693,24433.277199265143,5951.405520677567,13
31038.6035704338,24433.277199265143,6706.217669963837,14
26376.46238038901,24433.277199265143,6960.781883716583,15
29570.90692568645,24433.277199265143,8028.6306660175305,16
29114.158225565083,24433.277199265143,8580.320420503616,17
29117.666070488955,24433.277199265143,9911.574465990068,18
24468.794235956182,24433.277199265143,11319.594648599625,19
37936.95790900398,24433.277199265143,11599.177801847458,20
33923.652640171866,24433.277199265143,11817.154281616211,21
25338.34849855024,24433.277199265143,12194.466822385788,22
28228.06827034832,24433.277199265143,12201.887505054476,23
33346.90298944621,24433.277199265143,12204.958839654922,24
28718.42720186061,24433.277199265143,12208.764834880827,25
28315.41689678733,24433.277199265143,12213.2164041996,26
31293.692834833662,24433.277199265143,12216.414491653442,27
32523.380580042598,24433.277199265143,12221.03466796875,28
26895.73179428061,24433.277199265143,12225.434425354004,29
32576.86518450308,24433.277199265143,12234.558463335037,30
31748.8171050187,24433.277199265143,12244.11050581932,31
26209.320920689668,24433.277199265143,12246.60012578964,32
30843.155826056944,24433.277199265143,12250.563023090364,33
30422.151359171574,24433.277199265143,12257.60504078865,34
30300.459465095977,24433.277199265143,12262.695407629011,35
26458.282194899995,24433.277199265143,12268.250650405884,36
33431.14336530375,24433.277199265143,12273.382382392883,37
31339.655481040718,24433.277199265143,12278.49002313614,38
30979.841243403906,24433.277199265143,12283.902956485746,39
29882.901340957804,24433.277199265143,12286.41288471222,40
34944.526329029686,24433.277199265143,12291.330226659775,41
31099.86929711145,24433.277199265143,12297.391515016556,42
30783.27629794308,24433.277199265143,12302.44355416298,43
32639.40709690826,24433.277199265143,12310.208844423294,44
28390.400148193617,24433.277199265143,12313.14281821251,45
29762.825255063774,24433.277199265143,12324.724445819857,46
28400.333613341805,24433.277199265143,12344.937930107117,47
33811.918278421435,24433.277199265143,12349.715958356855,48
30241.209252582987,24433.277199265143,12355.176775455477,49
31476.46392720687,24433.277199265143,12360.465795755386,50
32098.4754945856,24433.277199265143,12364.491951227188,51
30331.585795732928,24433.277199265143,12367.610475301743,52
29764.4326786193,24433.277199265143,12374.189105033876,53
40831.33909477986,24433.277199265143,12380.500944614409,54
28525.588585080088,24433.277199265143,12387.144445180891,55
33985.502338398546,24433.277199265143,12400.678441524507,56
28847.678047761205,24433.277199265143,12407.492042779922,57
