loss,best_loss,timepoint,iteration
24086.711355097403,24086.711355097403,3.4839205741882324,1
31535.314266262714,24086.711355097403,6.884936809539795,2
32825.45639373006,24086.711355097403,10.810381412506104,3
24227.76210722353,24086.711355097403,14.92692518234253,4
31864.18541954058,24086.711355097403,23.215206861495968,5
34351.684032727186,24086.711355097403,29.65152955055237,6
33498.671862922565,24086.711355097403,33.99522161483765,7
30536.94724495305,24086.711355097403,36.1464524269104,8
22796.417139696958,22796.417139696958,39.81192588806152,9
31098.37289932186,22796.417139696958,44.108569622039795,10
25756.501547594347,22796.417139696958,48.54270505905152,11
38943.73095782004,22796.417139696958,53.93497323989868,12
42793.55834858336,22796.417139696958,57.93181085586548,13
30912.782835956183,22796.417139696958,61.92454147338867,14
22228.13154861289,22228.13154861289,64.59274363517761,15
30221.47189594795,22228.13154861289,68.04536533355713,16
30716.306162058954,22228.13154861289,75.35997271537782,17
28466.986920726915,22228.13154861289,77.76453852653503,18
33181.71962654418,22228.13154861289,83.61734604835509,19
28634.676658339184,22228.13154861289,92.19556379318236,20
23360.924595922803,22228.13154861289,96.374596118927,21
24805.14340597431,22228.13154861289,98.79463291168213,22
26664.43959137421,22228.13154861289,105.42548966407776,23
26533.535797213783,22228.13154861289,107.43735313415527,24
26605.165748437998,22228.13154861289,110.96289014816284,25
29280.149327701693,22228.13154861289,115.78492259979248,26
25167.54894115055,22228.13154861289,121.51442956924437,27
26379.012104216577,22228.13154861289,123.62540411949158,28
30863.495286211717,22228.13154861289,129.02777028083798,29
24045.35193623361,22228.13154861289,132.6875467300415,30
31351.719132739017,22228.13154861289,140.03878879547122,31
24667.84243493473,22228.13154861289,144.084450006485,32
23254.366549951174,22228.13154861289,146.92121911048892,33
23693.73981589922,22228.13154861289,150.4999454021454,34
26804.559690736573,22228.13154861289,153.49590706825256,35
27056.724959507294,22228.13154861289,156.27781772613525,36
20953.30745129272,20953.30745129272,159.90268540382385,37
25142.424742162002,20953.30745129272,163.20787334442142,38
23053.88735101122,20953.30745129272,167.67224526405334,39
20935.76350137935,20935.76350137935,171.43582177162168,40
21571.66213858184,20935.76350137935,181.34120655059812,41
22497.911864359965,20935.76350137935,190.5301229953766,42
20706.787258579938,20706.787258579938,199.89237785339355,43
