loss,best_loss,timepoint,iteration,tuna
34031.98894,34031.98894,25.34263968,1,bohb
34115.28778,34031.98894,27.84232569,2,bohb
32442.71117,32442.71117,33.42088819,3,bohb
36262.19048,32442.71117,41.58550549,4,bohb
67357.38805,32442.71117,46.53171158,5,bohb
28965.83167,28965.83167,49.27662969,6,bohb
27954.11789,27954.11789,56.58262324,7,bohb
31454.9832,27954.11789,61.91718078,8,bohb
31905.1813,27954.11789,69.61997104,9,bohb
28245.50486,27954.11789,74.96001935,10,bohb
33266.68302,27954.11789,80.12589788,11,bohb
27512.57649,27512.57649,85.80643559,12,bohb
29997.659,27512.57649,94.5927515,13,bohb
44802.779,27512.57649,99.69619179,14,bohb
23047.80399,23047.80399,102.7220995,15,bohb
29071.23657,23047.80399,107.7320795,16,bohb
30099.98748,23047.80399,120.2727351,17,bohb
25244.75784,23047.80399,125.8470871,18,bohb
25360.6713,23047.80399,129.0111158,19,bohb
29573.03448,23047.80399,131.6906233,20,bohb
23530.59722,23047.80399,137.6338203,21,bohb
26836.95558,23047.80399,140.1741629,22,bohb
27929.51605,23047.80399,147.2796292,23,bohb
25142.47896,23047.80399,152.7966623,24,bohb
28391.41551,23047.80399,156.5955842,25,bohb
26604.99945,23047.80399,166.1906099,26,bohb
36904.07347,23047.80399,170.9039102,27,bohb
23822.60751,23047.80399,176.8188648,28,bohb
23559.33691,23047.80399,179.8980033,29,bohb
22265.7011,22265.7011,183.1082153,30,bohb
21001.0878,21001.0878,186.1415205,31,bohb
25727.87887,21001.0878,189.6540999,32,bohb
33737.90213,21001.0878,193.5736747,33,bohb
24571.12363,21001.0878,197.0411673,34,bohb
24861.30781,21001.0878,200.0083928,35,bohb
23743.11471,21001.0878,202.2302096,36,bohb
24421.03097,21001.0878,205.4737015,37,bohb
25292.25137,21001.0878,208.0363054,38,bohb
23177.95958,21001.0878,211.3280957,39,bohb
25241.43577,21001.0878,214.0993674,40,bohb
23174.49497,21001.0878,217.9310856,41,bohb
20601.3908,20601.3908,221.042032,42,bohb
28144.87222,20601.3908,230.0038514,43,bohb
23950.82822,20601.3908,233.5869186,44,bohb
23365.74509,20601.3908,237.2626395,45,bohb
21126.18114,20601.3908,241.0251322,46,bohb
22419.70882,20601.3908,245.7866421,47,bohb
31382.21863,20601.3908,250.7843714,48,bohb
26030.09922,20601.3908,261.1440768,49,bohb
22253.42532,20601.3908,265.5817683,50,bohb
29075.46325,20601.3908,271.2546668,51,bohb
25468.46804,20601.3908,275.6405563,52,bohb
22202.96615,20601.3908,280.0237584,53,bohb
32339.94008,20601.3908,283.3844724,54,bohb
30159.07728,20601.3908,288.615088,55,bohb
