,loss,best_loss,timepoint,iteration
0,30334.80693062312,30334.80693062312,4.609466075897217,1
1,26844.842584189315,26844.842584189315,9.183293581008913,2
2,27377.931965738197,26844.842584189315,11.227490425109863,3
3,30543.160924677217,26844.842584189315,18.800183773040768,4
4,51089.308446509465,26844.842584189315,21.068714618682858,5
5,30272.651834761407,26844.842584189315,26.352025747299194,6
6,27000.73578705924,26844.842584189315,31.9581241607666,7
7,27457.51089784377,26844.842584189315,41.76809144020081,8
8,32584.715570307344,26844.842584189315,46.02685499191284,9
9,36147.822502408766,26844.842584189315,49.00880479812622,10
10,30188.51548265399,26844.842584189315,58.57426834106445,11
11,27054.66305880016,26844.842584189315,68.48504519462585,12
12,30331.08434269844,26844.842584189315,72.12575292587279,13
13,30601.830496936283,26844.842584189315,76.41087317466736,14
14,33524.45233582563,26844.842584189315,89.93098688125609,15
15,28068.63062201188,26844.842584189315,95.20307230949402,16
16,27704.999016856622,26844.842584189315,100.52446341514587,17
17,26114.133669075385,26114.133669075385,107.1404116153717,18
18,34292.606556658655,26114.133669075385,116.300714969635,19
19,27430.484985441373,26114.133669075385,121.07310676574707,20
20,28752.10617951768,26114.133669075385,126.86796855926514,21
21,33168.6334763148,26114.133669075385,130.15612435340879,22
22,31162.951238050264,26114.133669075385,137.0290379524231,23
23,30894.683845748827,26114.133669075385,142.48043727874756,24
24,26306.070988660435,26114.133669075385,147.9600877761841,25
25,28781.42145073105,26114.133669075385,160.13514161109924,26
26,61387.09743617347,26114.133669075385,169.1659593582153,27
27,25356.24676879218,25356.24676879218,174.45808243751526,28
28,30504.195635528216,25356.24676879218,179.8379089832306,29
29,26415.324788656748,25356.24676879218,185.86435532569885,30
30,26477.442404458965,25356.24676879218,196.4862711429596,31
31,27939.035062776307,25356.24676879218,201.24045419692996,32
32,28092.288931680654,25356.24676879218,205.72026562690732,33
33,27387.36232936261,25356.24676879218,217.27954530715942,34
34,29089.12973662005,25356.24676879218,223.0093877315521,35
35,26229.540058688388,25356.24676879218,231.3133594989777,36
36,31376.438446233573,25356.24676879218,238.93530535697937,37
37,26238.081521221135,25356.24676879218,246.14793610572812,38
38,34349.69601790497,25356.24676879218,250.74833273887637,39
39,27481.031887763584,25356.24676879218,257.85773849487305,40
40,25673.66973649455,25356.24676879218,263.19766712188715,41
41,28781.38820596425,25356.24676879218,269.58839511871344,42
42,29697.76042941609,25356.24676879218,278.5988130569458,43
43,29583.66095182012,25356.24676879218,284.40645933151245,44
44,30947.586331885148,25356.24676879218,287.547678232193,45
45,32198.73520038484,25356.24676879218,293.93082451820374,46
46,28421.68059335452,25356.24676879218,301.3829095363617,47
47,28362.771013324953,25356.24676879218,305.9613373279572,48
48,29677.71459906102,25356.24676879218,309.09310436248785,49
49,27097.234315748028,25356.24676879218,314.0712404251098,50
50,26356.178428454044,25356.24676879218,318.84596252441406,51
51,29310.462778834302,25356.24676879218,324.211416721344,52
52,26036.58959689154,25356.24676879218,331.3126380443573,53
53,26963.603827391642,25356.24676879218,337.42785501480097,54
