,loss,best_loss,timepoint,iteration
0,29400.36333935362,29400.36333935362,10.94099497795105,1
1,31274.38696655493,29400.36333935362,17.79594135284424,2
2,37263.36200442758,29400.36333935362,25.846898794174194,3
3,26345.25832855594,26345.25832855594,30.347156524658203,4
4,23642.195043551383,23642.195043551383,32.567015409469604,5
5,35772.658685649985,23642.195043551383,38.517199516296394,6
6,28042.904184068302,23642.195043551383,47.53440713882446,7
7,29765.27880554661,23642.195043551383,51.17623782157898,8
8,30144.984140596225,23642.195043551383,56.69747972488403,9
9,30183.189709403243,23642.195043551383,60.543128490448,10
10,28339.518354431715,23642.195043551383,71.27021622657777,11
11,28211.70853104746,23642.195043551383,80.02508068084717,12
12,31604.98678939262,23642.195043551383,83.9191493988037,13
13,31223.89240500877,23642.195043551383,89.279949426651,14
14,60246.78061443558,23642.195043551383,99.19566941261292,15
15,37622.95797869634,23642.195043551383,105.83595490455627,16
16,25181.124297721064,23642.195043551383,115.78119564056395,17
17,32822.11668689935,23642.195043551383,123.28401923179626,18
18,29878.6192443537,23642.195043551383,128.9573361873627,19
19,25939.190681318985,23642.195043551383,132.1491973400116,20
20,33428.149252992385,23642.195043551383,139.07701349258423,21
21,28162.87084405266,23642.195043551383,144.89476585388184,22
22,31551.57244612142,23642.195043551383,150.90046763420102,23
23,29493.374921936556,23642.195043551383,158.5151047706604,24
24,32126.27775553717,23642.195043551383,164.2631638050079,25
25,30147.983595967682,23642.195043551383,172.24704551696775,26
26,35442.3894297839,23642.195043551383,176.67234468460083,27
27,32641.1436300598,23642.195043551383,184.0134813785553,28
28,34729.45197204042,23642.195043551383,186.5487856864929,29
29,29517.103017826103,23642.195043551383,194.47669053077698,30
30,24048.718251200255,23642.195043551383,197.88842606544492,31
31,24950.795928042062,23642.195043551383,205.2366285324097,32
32,26710.84406315624,23642.195043551383,210.13062167167664,33
33,37341.44444199554,23642.195043551383,218.10766839981082,34
34,30053.31821676162,23642.195043551383,224.6863412857056,35
35,32360.700988406123,23642.195043551383,227.4869873523712,36
36,32356.492632139863,23642.195043551383,232.16271257400516,37
37,29761.69860579956,23642.195043551383,235.29788303375244,38
38,33071.2237600434,23642.195043551383,244.69223833084104,39
39,29705.731059322265,23642.195043551383,248.28228878974915,40
40,29995.176609602182,23642.195043551383,259.07526659965515,41
41,30897.348144172945,23642.195043551383,266.7549421787262,42
42,31055.659846620834,23642.195043551383,277.78938841819763,43
43,30386.271004443057,23642.195043551383,281.6710541248321,44
44,30176.02373664282,23642.195043551383,288.26666855812067,45
45,31458.55638111605,23642.195043551383,292.1917757987976,46
46,32354.538308099938,23642.195043551383,298.84559845924383,47
47,25034.484995282477,23642.195043551383,302.1794135570526,48
48,31617.679010599502,23642.195043551383,307.0882201194763,49
49,34171.5275772367,23642.195043551383,311.1060009002685,50
50,30599.029743009854,23642.195043551383,316.7617554664612,51
51,32834.47653206788,23642.195043551383,321.7068936824798,52
52,29999.602821040742,23642.195043551383,329.37184453010565,53
53,29519.952503420565,23642.195043551383,337.7854466438293,54
54,30983.99801104846,23642.195043551383,340.32592844963074,55
55,29813.878907695762,23642.195043551383,344.3093478679657,56
56,35353.697108648885,23642.195043551383,351.432245016098,57
57,32044.07137807439,23642.195043551383,359.04809951782227,58
58,30328.012403061533,23642.195043551383,364.29277110099787,59
59,34027.755046510276,23642.195043551383,368.9811906814575,60
60,27164.89700415879,23642.195043551383,375.9154362678528,61
61,33564.64593027631,23642.195043551383,381.86731004714966,62
62,30302.772975521737,23642.195043551383,387.2469205856323,63
63,29707.474440371927,23642.195043551383,395.0211308002472,64
64,33751.92054125924,23642.195043551383,403.25350284576416,65
65,28807.11690562022,23642.195043551383,408.8456435203552,66
66,35191.729901425795,23642.195043551383,411.2743756771088,67
67,29185.981384911956,23642.195043551383,420.5926053524017,68
68,29111.50198308313,23642.195043551383,426.4628505706787,69
69,30590.643145726102,23642.195043551383,433.22767877578735,70
70,30126.448424370054,23642.195043551383,438.8616795539856,71
71,28891.5920774043,23642.195043551383,442.9138760566712,72
72,30653.991111471685,23642.195043551383,452.9025595188141,73
73,61437.408754648175,23642.195043551383,462.1997561454773,74
74,22150.09265075878,22150.09265075878,465.1288414001465,75
75,32153.72579538879,22150.09265075878,469.3051996231079,76
76,32027.288142281453,22150.09265075878,473.64821672439575,77
77,25631.594038053197,22150.09265075878,476.8121831417084,78
78,27983.68337418312,22150.09265075878,484.21045994758606,79
79,27904.894780029008,22150.09265075878,488.6070628166199,80
80,32495.607198543043,22150.09265075878,495.0641779899597,81
81,33442.72879867704,22150.09265075878,498.5271303653717,82
82,28904.712609109825,22150.09265075878,503.2270383834839,83
83,28331.46377146408,22150.09265075878,512.3369224071504,84
84,28746.3549590047,22150.09265075878,524.8725645542145,85
85,29679.551807991378,22150.09265075878,531.1050462722778,86
86,33861.599793010726,22150.09265075878,540.0945427417755,87
87,29922.606814644238,22150.09265075878,546.7923650741577,88
88,27919.41957540492,22150.09265075878,555.0478982925415,89
89,29076.984692941915,22150.09265075878,561.1211309432983,90
90,30766.33558209835,22150.09265075878,567.1218564510344,91
91,35988.732433910765,22150.09265075878,573.0359692573547,92
92,24216.38927304081,22150.09265075878,577.1650674343109,93
93,29265.82950016965,22150.09265075878,582.6592855453491,94
94,29169.124972702597,22150.09265075878,587.1483161449432,95
95,25104.024001632533,22150.09265075878,590.8195321559906,96
96,27403.504891602857,22150.09265075878,596.0644345283507,97
97,28348.050039301543,22150.09265075878,599.4237368106843,98
98,29804.120147974103,22150.09265075878,608.9314098358153,99
