loss,best_loss,timepoint,iteration
30331.868883005107,30331.868883005107,5.0,1
34824.107203983185,30331.868883005107,15.0,2
33286.759683021606,30331.868883005107,25.0,3
30344.72733322596,30331.868883005107,40.0,4
26077.888056370844,26077.888056370844,45.0,5
30064.014257276933,26077.888056370844,50.0,6
29326.57752910148,26077.888056370844,70.0,7
35225.35054516364,26077.888056370844,75.0,8
30494.338668329696,26077.888056370844,85.0,9
31271.027534533376,26077.888056370844,95.0,10
30841.188683356744,26077.888056370844,100.0,11
27831.670996289307,26077.888056370844,110.0,12
30249.881764522583,26077.888056370844,115.0,13
28023.135701317417,26077.888056370844,120.0,14
28048.03956233072,26077.888056370844,125.0,15
33996.23916977305,26077.888056370844,130.0,16
31254.98383398622,26077.888056370844,135.0,17
26436.918374261073,26077.888056370844,140.0,18
32178.555293656093,26077.888056370844,145.0,19
27696.657348342083,26077.888056370844,150.0,20
27918.781654967886,26077.888056370844,160.0,21
29984.447014119614,26077.888056370844,165.0,22
29572.08483027398,26077.888056370844,170.0,23
33775.142783375515,26077.888056370844,180.0,24
23641.88455000833,23641.88455000833,190.0,25
31053.26750980459,23641.88455000833,195.0,26
25236.88924958254,23641.88455000833,205.0,27
25685.345633496177,23641.88455000833,210.0,28
21843.31274951257,21843.31274951257,215.0,29
31678.1772593331,21843.31274951257,225.0,30
28378.95763543505,21843.31274951257,230.0,31
22899.639355734995,21843.31274951257,235.0,32
23683.570781346363,21843.31274951257,250.0,33
31743.26665512225,21843.31274951257,260.0,34
30345.6795949746,21843.31274951257,265.0,35
30346.284942743638,21843.31274951257,270.0,36
23775.409396386305,21843.31274951257,280.0,37
21465.714555938044,21465.714555938044,285.0,38
23963.029252745942,21465.714555938044,295.0,39
33025.341934456905,21465.714555938044,300.0,40
25610.239189578693,21465.714555938044,310.0,41
21398.956023258983,21398.956023258983,320.0,42
23205.11683307081,21398.956023258983,325.0,43
22414.93310031076,21398.956023258983,330.0,44
36298.89492170684,21398.956023258983,340.0,45
21425.75072327473,21398.956023258983,370.0,46
22869.334317829707,21398.956023258983,385.0,47
22310.99207403414,21398.956023258983,390.0,48
26392.775865490705,21398.956023258983,395.0,49
23162.856222688653,21398.956023258983,405.0,50
24390.443072649232,21398.956023258983,420.0,51
20787.81947638811,20787.81947638811,435.0,52
22389.934980496542,20787.81947638811,450.0,53
29532.03958798877,20787.81947638811,460.0,54
20932.77720783259,20787.81947638811,480.0,55
31351.1591523927,20787.81947638811,490.0,56
25626.068132057557,20787.81947638811,515.0,57
23318.96623860536,20787.81947638811,520.0,58
21764.879111809118,20787.81947638811,530.0,59
24834.200084974,20787.81947638811,545.0,60
21419.206280780265,20787.81947638811,550.0,61
29205.5788916917,20787.81947638811,560.0,62
22609.45025733429,20787.81947638811,565.0,63
25841.26807786981,20787.81947638811,570.0,64
22129.65394129957,20787.81947638811,580.0,65
22712.421502608056,20787.81947638811,585.0,66
24481.664870058798,20787.81947638811,595.0,67
23487.314934894493,20787.81947638811,600.0,68
24473.062529985767,20787.81947638811,630.0,69
30348.472056826413,20787.81947638811,635.0,70
25683.506262655384,20787.81947638811,640.0,71
25172.53572178358,20787.81947638811,665.0,72
30913.805615340065,20787.81947638811,675.0,73
22243.42843976837,20787.81947638811,690.0,74
20261.934551714865,20261.934551714865,700.0,75
21947.619065438656,20261.934551714865,710.0,76
29005.957977660088,20261.934551714865,715.0,77
25001.490079230065,20261.934551714865,725.0,78
21468.44162052643,20261.934551714865,735.0,79
29213.223429810787,20261.934551714865,745.0,80
22483.39037142065,20261.934551714865,765.0,81
25888.612183711244,20261.934551714865,770.0,82
29483.80679892161,20261.934551714865,775.0,83
21120.105576358696,20261.934551714865,780.0,84
22354.93557794314,20261.934551714865,785.0,85
31918.036402667436,20261.934551714865,790.0,86
23294.729779664838,20261.934551714865,800.0,87
21233.65505105934,20261.934551714865,820.0,88
21482.594657080568,20261.934551714865,830.0,89
32316.319566586484,20261.934551714865,835.0,90
22152.681486171132,20261.934551714865,840.0,91
31361.008297122684,20261.934551714865,850.0,92
22377.34957061561,20261.934551714865,855.0,93
23913.678967032232,20261.934551714865,875.0,94
23436.520759591964,20261.934551714865,885.0,95
32360.142133524867,20261.934551714865,905.0,96
23343.935420824502,20261.934551714865,915.0,97
22865.627558934528,20261.934551714865,925.0,98
21889.63569969084,20261.934551714865,950.0,99
23516.520031016164,20261.934551714865,955.0,100
27517.447638026566,20261.934551714865,960.0,101
22862.204064451627,20261.934551714865,965.0,102
24298.49101015676,20261.934551714865,975.0,103
23535.69425592586,20261.934551714865,980.0,104
22121.470180026143,20261.934551714865,990.0,105
30018.365515485755,20261.934551714865,1000.0,106
33502.7881255647,20261.934551714865,1010.0,107
22318.82145989061,20261.934551714865,1015.0,108
22589.749191155766,20261.934551714865,1020.0,109
23058.493923950347,20261.934551714865,1025.0,110
23462.886774688937,20261.934551714865,1035.0,111
20479.493800303753,20261.934551714865,1050.0,112
32782.93817477458,20261.934551714865,1065.0,113
23212.68275306028,20261.934551714865,1085.0,114
24363.24230707238,20261.934551714865,1090.0,115
27411.55996421792,20261.934551714865,1095.0,116
23596.292267934565,20261.934551714865,1105.0,117
