,loss,best_loss,timepoint,iteration
0,38084.749249187815,38084.749249187815,5.86418080329895,1
1,26328.864968933478,26328.864968933478,12.317741870880127,2
2,33213.73713803672,26328.864968933478,24.244678735733032,3
3,32687.072162379984,26328.864968933478,29.86407709121704,4
4,27972.50189581027,26328.864968933478,34.41825485229492,5
5,27965.377148172025,26328.864968933478,37.98502159118652,6
6,48718.30006949744,26328.864968933478,43.90916895866394,7
7,32344.22754355773,26328.864968933478,48.60115456581116,8
8,22527.704293832052,22527.704293832052,52.56143736839294,9
9,29945.521422405913,22527.704293832052,62.20266127586365,10
10,28625.97880679888,22527.704293832052,68.21887254714966,11
11,34670.960790821606,22527.704293832052,74.16968035697938,12
12,28716.255544759515,22527.704293832052,77.80759644508363,13
13,32245.692974521466,22527.704293832052,89.79562067985535,14
14,30718.568937531738,22527.704293832052,97.46015977859496,15
15,25298.873562117227,22527.704293832052,100.11861538887024,16
16,35428.83445854689,22527.704293832052,105.01411414146423,17
17,24822.70278409338,22527.704293832052,107.92000365257263,18
18,21287.700372841668,21287.700372841668,110.71544647216795,19
19,32462.507114798867,21287.700372841668,114.1080539226532,20
20,25395.41158480748,21287.700372841668,119.39537930488586,21
21,32567.288850883233,21287.700372841668,124.96593689918518,22
22,25060.332521164833,21287.700372841668,131.25167274475098,23
23,32065.25265744432,21287.700372841668,135.81967544555664,24
24,27555.922024729425,21287.700372841668,138.86233758926392,25
25,24386.093485901303,21287.700372841668,143.97652626037598,26
26,32640.156100570766,21287.700372841668,149.4217236042023,27
27,33880.817409801995,21287.700372841668,155.0581305027008,28
28,25484.45196409435,21287.700372841668,158.29443192481997,29
29,33639.579032912225,21287.700372841668,168.8035550117493,30
30,29265.313129627666,21287.700372841668,174.4279146194458,31
31,28313.936177190917,21287.700372841668,179.38885712623596,32
32,33056.486839751604,21287.700372841668,182.05355763435364,33
33,29166.10832126335,21287.700372841668,188.5459794998169,34
34,30347.27485139001,21287.700372841668,191.76184153556824,35
35,27055.696638367663,21287.700372841668,198.3807291984558,36
36,30336.269552915688,21287.700372841668,203.7646222114563,37
37,34307.106666902386,21287.700372841668,207.2794554233551,38
38,28539.219305468305,21287.700372841668,213.63141465187076,39
39,31222.715938103833,21287.700372841668,219.35817503929138,40
40,28748.27079375058,21287.700372841668,228.58296608924863,41
41,30643.21212981939,21287.700372841668,238.08800888061523,42
42,30595.685706460186,21287.700372841668,242.32721757888797,43
43,25680.698916614467,21287.700372841668,247.1307897567749,44
