loss,best_loss,timepoint,iteration
31070.017025061774,31070.017025061774,5.5123045444488525,1
29915.47252534924,29915.47252534924,10.933761596679688,2
31846.716211324434,29915.47252534924,16.15811324119568,3
34330.444852877685,29915.47252534924,24.676764726638797,4
27987.39033427829,27987.39033427829,31.552724123001102,5
34583.063834650915,27987.39033427829,35.74109649658203,6
33759.40437469953,27987.39033427829,42.6458306312561,7
31213.771945499047,27987.39033427829,47.82832741737366,8
29064.661855154125,27987.39033427829,54.24348163604736,9
33855.197193059226,27987.39033427829,58.59901070594788,10
28136.699446948456,27987.39033427829,65.09813737869264,11
27394.28672842869,27394.28672842869,68.91705584526062,12
30092.01333100853,27394.28672842869,73.12537622451781,13
32180.380295706134,27394.28672842869,77.97385573387145,14
34699.01418572668,27394.28672842869,82.54631018638611,15
21934.489552556915,21934.489552556915,85.8246922492981,16
26701.926998841034,21934.489552556915,89.16875171661377,17
31203.5737177653,21934.489552556915,94.40635085105896,18
35478.91568269607,21934.489552556915,103.36515378952026,19
26313.44990626151,21934.489552556915,108.1769633293152,20
28704.40168410608,21934.489552556915,110.90438914299013,21
30250.342867289757,21934.489552556915,113.90633511543274,22
25216.37897986384,21934.489552556915,118.15537309646606,23
22771.313478976885,21934.489552556915,122.25916838645935,24
23043.793404741675,21934.489552556915,125.7411606311798,25
32962.058931562635,21934.489552556915,129.0898413658142,26
26997.638396269667,21934.489552556915,132.23500084877014,27
25850.239392807984,21934.489552556915,136.12540411949158,28
26250.146496779224,21934.489552556915,142.5994031429291,29
27298.09959266892,21934.489552556915,145.68916845321658,30
24078.92322291168,21934.489552556915,149.5448520183563,31
30983.787065228666,21934.489552556915,154.44029092788696,32
30022.563531977758,21934.489552556915,158.66086864471438,33
30854.469273312643,21934.489552556915,164.10565853118896,34
27908.856970811357,21934.489552556915,167.56514835357666,35
23103.35515037417,21934.489552556915,171.0130488872528,36
26275.662726539147,21934.489552556915,176.39363861083984,37
32056.265909382026,21934.489552556915,180.0720248222351,38
24188.58846201,21934.489552556915,186.6795125007629,39
29693.076900150656,21934.489552556915,191.7703588008881,40
25582.570745233646,21934.489552556915,196.62984132766724,41
24717.7948681723,21934.489552556915,199.247398853302,42
28354.40926915505,21934.489552556915,203.15576148033142,43
34673.77206726408,21934.489552556915,206.70505666732788,44
30652.90962087057,21934.489552556915,210.5986526012421,45
28289.538639406688,21934.489552556915,215.8384921550751,46
